entry_date,ticker,rank_with_corrupted,rank_excluding_distorting,delta,n_distorting_that_date
2025-05-22,BAJAJ-AUTO.NS,26.0,26.0,0.0,1
2025-05-22,SHILPAMED.NS,63.0,63.0,0.0,1
2025-05-22,ASTRAL.NS,9.0,9.0,0.0,1
2025-05-29,BIKAJI.NS,69.0,69.0,0.0,1
2025-05-29,ANANTRAJ.NS,45.0,45.0,0.0,1
2025-05-29,CASTROLIND.NS,41.0,41.0,0.0,1
2025-05-29,RBLBANK.NS,74.0,75.0,1.0,1
2025-05-29,ICICIPRULI.NS,55.0,55.0,0.0,1
2025-05-29,RPOWER.NS,96.0,96.0,0.0,1
2025-05-29,DEEPAKFERT.NS,97.0,97.0,0.0,1
2025-06-05,JKCEMENT.NS,86.0,86.0,0.0,1
2025-06-05,DRREDDY.NS,46.0,46.0,0.0,1
2025-06-05,CAMS.NS,64.0,64.0,0.0,1
2025-06-05,ETERNAL.NS,60.0,60.0,0.0,1
2025-06-05,HDFCAMC.NS,79.0,79.0,0.0,1
2025-06-05,SWANCORP.NS,6.0,6.0,0.0,1
2025-06-05,GESHIP.NS,31.0,31.0,0.0,1
2025-06-05,GMDCLTD.NS,80.0,80.0,0.0,1
2025-06-05,ABBOTINDIA.NS,53.0,53.0,0.0,1
2025-06-05,GLENMARK.NS,65.0,65.0,0.0,1
2025-06-12,NATCOPHARM.NS,7.0,7.0,0.0,1
2025-06-12,CRISIL.NS,77.0,78.0,1.0,1
2025-06-12,DCMSHRIRAM.NS,57.0,57.0,0.0,1
2025-06-12,METROPOLIS.NS,12.0,12.0,0.0,1
2025-06-12,RAINBOW.NS,57.0,57.0,0.0,1
2025-06-12,SYNGENE.NS,9.0,9.0,0.0,1
2025-06-26,BRITANNIA.NS,73.0,73.0,0.0,1
2025-06-26,DALBHARAT.NS,82.0,83.0,1.0,1
2025-06-26,HDFCLIFE.NS,82.0,82.0,0.0,1
2025-06-26,JIOFIN.NS,62.0,62.0,0.0,1
2025-06-26,JSWINFRA.NS,41.0,41.0,0.0,1
2025-06-26,HDFCBANK.NS,74.0,74.0,0.0,1
2025-06-26,WHIRLPOOL.NS,41.0,41.0,0.0,1
2025-06-26,MAXHEALTH.NS,76.0,76.0,0.0,1
2025-06-26,NUVAMA.NS,88.0,88.0,0.0,1
2025-06-26,ABBOTINDIA.NS,71.0,72.0,1.0,1
2025-06-26,AAVAS.NS,49.0,49.0,0.0,1
2025-06-26,SHRIRAMFIN.NS,73.0,73.0,0.0,1
2025-07-03,UPL.NS,73.0,73.0,0.0,1
2025-07-03,APOLLOHOSP.NS,65.0,65.0,0.0,1
2025-07-03,KAJARIACER.NS,49.0,49.0,0.0,1
2025-07-03,LLOYDSENGG.NS,69.0,69.0,0.0,1
2025-07-03,MOTILALOFS.NS,91.0,91.0,0.0,1
2025-07-03,CHENNPETRO.NS,37.0,37.0,0.0,1
2025-07-03,ASTERDM.NS,95.0,95.0,0.0,1
2025-07-03,DCMSHRIRAM.NS,90.0,90.0,0.0,1
2025-07-10,CARTRADE.NS,96.0,97.0,1.0,1
2025-07-10,ABSLAMC.NS,79.0,79.0,0.0,1
2025-07-10,UTIAMC.NS,80.0,80.0,0.0,1
2025-07-10,GLENMARK.NS,81.0,81.0,0.0,1
2025-07-10,METROPOLIS.NS,51.0,51.0,0.0,1
2025-07-10,GALLANTT.NS,97.0,97.0,0.0,1
2025-07-17,NATCOPHARM.NS,29.0,29.0,0.0,1
2025-07-17,ANANDRATHI.NS,93.0,93.0,0.0,1
2025-07-17,KAJARIACER.NS,74.0,75.0,1.0,1
2025-07-17,CHOICEIN.NS,96.0,96.0,0.0,1
2025-07-17,GLENMARK.NS,95.0,95.0,0.0,1
2025-07-17,SBIN.NS,42.0,42.0,0.0,1
2025-07-17,SCHNEIDER.NS,82.0,82.0,0.0,1
2025-07-17,CONCORDBIO.NS,43.0,43.0,0.0,1
2025-07-24,VIJAYA.NS,73.0,73.0,0.0,1
2025-07-24,JINDALSTEL.NS,56.0,57.0,1.0,1
2025-07-24,IPCALAB.NS,54.0,54.0,0.0,1
2025-07-24,SHYAMMETL.NS,72.0,72.0,0.0,1
2025-07-24,TIMKEN.NS,74.0,74.0,0.0,1
2025-07-24,ZYDUSWELL.NS,63.0,63.0,0.0,1
2025-07-31,SCHNEIDER.NS,96.0,96.0,0.0,2
2025-08-07,ASIANPAINT.NS,38.0,38.0,0.0,1
2025-08-07,3MINDIA.NS,43.0,43.0,0.0,1
2025-08-07,HEROMOTOCO.NS,59.0,60.0,1.0,1
2025-08-07,AVALON.NS,94.0,95.0,1.0,1
2025-08-14,EIHOTEL.NS,59.0,59.0,0.0,1
2025-08-22,INDIACEM.NS,73.0,73.0,0.0,1
2025-08-22,JKCEMENT.NS,95.0,95.0,0.0,1
2025-09-15,APLAPOLLO.NS,59.0,59.0,0.0,1
2025-09-15,HINDZINC.NS,29.0,29.0,0.0,1
2025-09-15,RADICO.NS,88.0,88.0,0.0,1
2025-09-22,ACC.NS,26.0,26.0,0.0,1
2025-09-22,ADANIGREEN.NS,55.0,55.0,0.0,1
2025-09-22,MUTHOOTFIN.NS,91.0,91.0,0.0,1
2025-09-22,VIYASH.NS,79.0,79.0,0.0,1
2025-09-22,USHAMART.NS,89.0,89.0,0.0,1
2025-09-22,CHENNPETRO.NS,75.0,75.0,0.0,1
2025-09-22,AWL.NS,34.0,34.0,0.0,1
2025-09-29,HINDZINC.NS,59.0,59.0,0.0,1
2025-09-29,APLAPOLLO.NS,72.0,73.0,1.0,1
2025-09-29,INDIANB.NS,90.0,91.0,1.0,1
2025-09-29,CHENNPETRO.NS,79.0,79.0,0.0,1
2025-10-07,SCHAEFFLER.NS,82.0,82.0,0.0,1
2025-10-07,OIL.NS,33.0,33.0,0.0,1
2025-10-07,BANKINDIA.NS,77.0,77.0,0.0,1
2025-10-14,HINDZINC.NS,79.0,79.0,0.0,1
2025-10-14,ANANDRATHI.NS,97.0,97.0,0.0,1
2025-10-21,CEATLTD.NS,92.0,92.0,0.0,1
2025-10-29,MRPL.NS,72.0,72.0,0.0,1
2025-10-29,UNITDSPR.NS,32.0,32.0,0.0,1
2025-10-29,SBIN.NS,79.0,79.0,0.0,1
2025-10-29,RADICO.NS,89.0,89.0,0.0,1
2025-10-29,MCDOWELL-N.NS,32.0,32.0,0.0,1
2025-10-29,IOC.NS,72.0,71.0,-1.0,1
2025-10-29,SHRIRAMFIN.NS,83.0,83.0,0.0,1
2025-11-06,HINDALCO.NS,81.0,81.0,0.0,1
2025-11-06,TATACONSUM.NS,69.0,69.0,0.0,1
2025-11-06,APLAPOLLO.NS,72.0,72.0,0.0,1
2025-11-06,CUB.NS,92.0,92.0,0.0,1
2025-11-06,SBIN.NS,82.0,82.0,0.0,1
2025-11-13,VIJAYA.NS,45.0,45.0,0.0,1
2025-11-13,ASHOKLEY.NS,91.0,91.0,0.0,1
2025-11-13,AUROPHARMA.NS,50.0,50.0,0.0,1
2025-11-13,VIYASH.NS,86.0,86.0,0.0,1
2025-11-13,INFY.NS,31.0,31.0,0.0,1
2025-11-13,AIAENG.NS,64.0,64.0,0.0,1
2025-11-20,BIOCON.NS,67.0,67.0,0.0,1
2025-11-20,RELIANCE.NS,72.0,72.0,0.0,1
2025-11-20,ELGIEQUIP.NS,35.0,35.0,0.0,1
2025-11-27,SANSERA.NS,90.0,91.0,1.0,1
2025-12-04,VIJAYA.NS,55.0,55.0,0.0,1
2025-12-04,PERSISTENT.NS,77.0,77.0,0.0,1
2025-12-04,BSOFT.NS,51.0,51.0,0.0,1
2025-12-04,LTTS.NS,56.0,56.0,0.0,1
2025-12-04,TCS.NS,30.0,30.0,0.0,1
2025-12-04,JKTYRE.NS,94.0,94.0,0.0,1
2025-12-04,PTCIL.NS,95.0,95.0,0.0,1
2025-12-04,COFORGE.NS,76.0,76.0,0.0,1
2025-12-18,SHRIRAMFIN.NS,95.0,95.0,0.0,1
2025-12-26,HEG.NS,74.0,74.0,0.0,1
2025-12-26,SUNDARMFIN.NS,71.0,70.0,-1.0,1
2026-01-02,INDUSTOWER.NS,86.0,86.0,0.0,1
2026-01-02,AJANTPHARM.NS,75.0,74.0,-1.0,1
2026-01-02,TVSMOTOR.NS,92.0,92.0,0.0,1
2026-01-02,MCX.NS,98.0,98.0,0.0,1
2026-01-02,HINDPETRO.NS,82.0,82.0,0.0,1
2026-01-05,SAILIFE.NS,80.0,80.0,0.0,1
2026-01-09,INDUSTOWER.NS,85.0,85.0,0.0,1
2026-01-09,RAMCOCEM.NS,71.0,70.0,-1.0,1
2026-01-19,FEDERALBNK.NS,94.0,94.0,0.0,1
2026-01-19,PNB.NS,84.0,84.0,0.0,1
2026-01-19,BANKINDIA.NS,96.0,96.0,0.0,1
2026-01-19,AXISBANK.NS,78.0,78.0,0.0,1
2026-01-19,IFCI.NS,82.0,82.0,0.0,1
2026-01-27,AXISBANK.NS,86.0,86.0,0.0,1
2026-01-27,JSWSTEEL.NS,87.0,87.0,0.0,1
2026-01-27,KIRLPNU.NS,42.0,42.0,0.0,1
2026-01-27,KARURVYSYA.NS,90.0,90.0,0.0,1
2026-02-02,MRPL.NS,90.0,90.0,0.0,1
2026-02-02,VEDL.NS,97.0,97.0,0.0,1
2026-02-16,HONASA.NS,82.0,82.0,0.0,1
2026-02-23,CCL.NS,86.0,86.0,0.0,1
2026-03-02,ONGC.NS,82.0,82.0,0.0,1
2026-03-10,DRREDDY.NS,68.0,68.0,0.0,1
2026-03-17,THERMAX.NS,70.0,70.0,0.0,1
2026-04-02,ADANIPOWER.NS,88.0,88.0,0.0,1
2026-04-10,AVALON.NS,85.0,85.0,0.0,1
2026-04-20,CESC.NS,67.0,67.0,0.0,1
2026-04-20,ADANIPOWER.NS,94.0,94.0,0.0,1
2026-04-20,NLCINDIA.NS,84.0,84.0,0.0,1
2026-04-27,JSWENERGY.NS,69.0,69.0,0.0,1
2026-04-27,CESC.NS,75.0,75.0,0.0,1
2026-04-27,NLCINDIA.NS,86.0,86.0,0.0,1
2026-05-05,KEI.NS,90.0,90.0,0.0,1
2026-05-05,INTELLECT.NS,11.0,11.0,0.0,1
2026-05-05,MANAPPURAM.NS,71.0,71.0,0.0,1
2026-05-05,CESC.NS,77.0,77.0,0.0,1
2026-05-05,EMCURE.NS,86.0,86.0,0.0,1
2026-05-05,HFCL.NS,97.0,98.0,1.0,1
2026-05-05,SYRMA.NS,96.0,96.0,0.0,1
2026-05-05,METROPOLIS.NS,71.0,71.0,0.0,1
2026-05-11,NIVABUPA.NS,54.0,54.0,0.0,1
2026-05-12,BIOCON.NS,69.0,69.0,0.0,1
2026-05-12,HINDZINC.NS,88.0,89.0,1.0,1
2026-05-12,JBMA.NS,60.0,60.0,0.0,1
2026-05-19,POLICYBZR.NS,67.0,67.0,0.0,1
2026-05-19,ZYDUSLIFE.NS,72.0,72.0,0.0,1
2026-05-19,GLAND.NS,87.0,87.0,0.0,1
2026-05-26,ATGL.NS,81.0,81.0,0.0,1
2026-06-03,WELCORP.NS,98.0,98.0,0.0,1
2026-06-03,J&KBANK.NS,91.0,91.0,0.0,1
2026-06-03,PTCIL.NS,74.0,74.0,0.0,1
2026-06-03,IFCI.NS,92.0,92.0,0.0,1
2026-06-03,NMDC.NS,85.0,85.0,0.0,1
2026-06-10,ASTERDM.NS,86.0,86.0,0.0,1
2026-06-17,DIXON.NS,41.0,41.0,0.0,1
2026-06-17,MMTC.NS,82.0,82.0,0.0,1
2026-06-17,YESBANK.NS,80.0,80.0,0.0,1
2026-06-17,KEI.NS,90.0,90.0,0.0,1
2026-06-24,AUBANK.NS,78.0,78.0,0.0,1
2026-06-24,INDIGO.NS,57.0,57.0,0.0,1
2026-06-24,OFSS.NS,87.0,87.0,0.0,1
2026-06-24,GMRAIRPORT.NS,72.0,72.0,0.0,1
2026-06-24,CASTROLIND.NS,31.0,31.0,0.0,1
2026-06-24,CGCL.NS,77.0,77.0,0.0,1
2026-07-02,TBOTEK.NS,68.0,68.0,0.0,1
2026-07-02,SONACOMS.NS,87.0,87.0,0.0,1
2026-07-02,ADANIENT.NS,91.0,91.0,0.0,1
2026-07-09,GRAVITA.NS,66.0,66.0,0.0,1
2026-07-09,OBEROIRLTY.NS,64.0,64.0,0.0,1
2026-07-09,WELCORP.NS,97.0,97.0,0.0,1
2026-07-09,TITAN.NS,70.0,70.0,0.0,1
2026-07-09,APOLLOHOSP.NS,74.0,74.0,0.0,1
2026-07-09,PAGEIND.NS,54.0,54.0,0.0,1
2026-07-09,MARKSANS.NS,94.0,94.0,0.0,1
2026-07-09,IIFL.NS,68.0,68.0,0.0,1
2026-07-16,DIVISLAB.NS,70.0,70.0,0.0,1
2026-07-16,KAJARIACER.NS,63.0,63.0,0.0,1
2026-07-16,FLUOROCHEM.NS,75.0,75.0,0.0,1
2026-07-16,SRF.NS,50.0,50.0,0.0,1
2026-07-16,IIFL.NS,67.0,67.0,0.0,1
2026-07-23,MEDANTA.NS,74.0,74.0,0.0,1
2026-07-23,IIFL.NS,70.0,70.0,0.0,1
