entry_date,ticker,rank_with_corrupted,rank_excluding_distorting,delta,n_distorting_that_date
2024-09-20,WABAG.NS,94.0,95.0,1.0,17
2024-09-20,DEVYANI.NS,39.0,38.0,-1.0,17
2024-09-20,NAVA.NS,96.0,97.0,1.0,17
2024-09-20,MOTHERSON.NS,84.0,84.0,0.0,17
2024-09-20,JUBLFOOD.NS,65.0,64.0,-1.0,17
2024-09-20,NAUKRI.NS,79.0,79.0,0.0,17
2024-09-27,BALRAMCHIN.NS,84.0,84.0,0.0,17
2024-09-27,SOLARINDS.NS,82.0,82.0,0.0,17
2024-09-27,SUNPHARMA.NS,70.0,70.0,0.0,17
2024-09-27,UNITDSPR.NS,68.0,67.0,-1.0,17
2024-09-27,VIYASH.NS,94.0,94.0,0.0,17
2024-09-27,MCDOWELL-N.NS,68.0,67.0,-1.0,17
2024-09-27,SIEMENS.NS,72.0,72.0,0.0,17
2024-09-27,HINDCOPPER.NS,72.0,72.0,0.0,17
2024-10-07,LALPATHLAB.NS,71.0,70.0,-1.0,17
2024-10-14,OBEROIRLTY.NS,71.0,70.0,-1.0,17
2024-10-14,IPCALAB.NS,80.0,80.0,0.0,17
2024-10-28,FSL.NS,93.0,94.0,1.0,16
2024-11-04,CARTRADE.NS,81.0,81.0,0.0,16
2024-11-11,ECLERX.NS,82.0,82.0,0.0,16
2024-11-27,ZENSARTECH.NS,69.0,68.0,-1.0,16
2024-11-27,SYNGENE.NS,69.0,69.0,0.0,16
2024-11-27,ABSLAMC.NS,90.0,90.0,0.0,16
2024-12-04,MAHABANK.NS,29.0,28.0,-1.0,16
2024-12-04,MEDANTA.NS,29.0,27.0,-2.0,16
2024-12-04,LODHA.NS,61.0,60.0,-1.0,16
2024-12-04,KEC.NS,90.0,90.0,0.0,16
2024-12-04,KARURVYSYA.NS,70.0,69.0,-1.0,16
2024-12-11,BAJAJHLDNG.NS,68.0,68.0,0.0,16
2024-12-11,ANURAS.NS,13.0,11.0,-2.0,16
2024-12-18,EIDPARRY.NS,84.0,85.0,1.0,16
2024-12-26,CEMPRO.NS,81.0,81.0,0.0,16
2024-12-26,KFINTECH.NS,98.0,98.0,0.0,16
2024-12-26,INDIACEM.NS,87.0,86.0,-1.0,16
2025-02-27,NH.NS,92.0,92.0,0.0,5
2025-02-27,BERGEPAINT.NS,69.0,68.0,-1.0,5
2025-02-27,BAJAJFINSV.NS,92.0,92.0,0.0,5
2025-02-27,CHAMBLFERT.NS,95.0,95.0,0.0,5
2025-03-21,KOTAKBANK.NS,85.0,86.0,1.0,6
2025-03-21,BEL.NS,82.0,82.0,0.0,6
2025-03-21,NLCINDIA.NS,79.0,79.0,0.0,6
2025-03-21,BAJFINANCE.NS,93.0,94.0,1.0,6
2025-03-21,ICICIBANK.NS,80.0,80.0,0.0,6
2025-03-28,FORTIS.NS,93.0,93.0,0.0,6
2025-04-07,GMRAIRPORT.NS,72.0,72.0,0.0,9
2025-04-07,NAVA.NS,94.0,95.0,1.0,9
2025-04-16,PATANJALI.NS,89.0,89.0,0.0,7
2025-04-16,AXISBANK.NS,67.0,66.0,-1.0,7
2025-04-16,EICHERMOT.NS,86.0,86.0,0.0,7
2025-04-16,BANDHANBNK.NS,48.0,47.0,-1.0,7
2025-04-24,DMART.NS,74.0,73.0,-1.0,9
2025-04-24,NUVOCO.NS,54.0,53.0,-1.0,9
2025-04-24,AUBANK.NS,70.0,70.0,0.0,9
2025-04-24,JKCEMENT.NS,86.0,86.0,0.0,9
2025-05-02,BANDHANBNK.NS,47.0,46.0,-1.0,9
2025-05-09,KPRMILL.NS,97.0,97.0,0.0,8
2025-05-16,MAPMYINDIA.NS,70.0,70.0,0.0,2
2025-05-16,SJVN.NS,27.0,27.0,0.0,2
2025-05-16,BEL.NS,92.0,92.0,0.0,2
2025-05-16,NHPC.NS,58.0,58.0,0.0,2
2025-05-16,ANGELONE.NS,74.0,74.0,0.0,2
2025-05-16,LICI.NS,28.0,28.0,0.0,2
2025-05-16,PAGEIND.NS,77.0,77.0,0.0,2
2025-05-16,ABSLAMC.NS,57.0,57.0,0.0,2
2025-05-16,TATAPOWER.NS,47.0,47.0,0.0,2
2025-05-16,ABFRL.NS,37.0,37.0,0.0,2
2025-05-16,ESCORTS.NS,48.0,48.0,0.0,2
2025-05-23,TBOTEK.NS,5.0,5.0,0.0,1
2025-05-23,SUPREMEIND.NS,7.0,7.0,0.0,1
2025-05-23,ANGELONE.NS,86.0,86.0,0.0,1
2025-05-23,HDFCLIFE.NS,81.0,81.0,0.0,1
2025-05-23,ASTRAL.NS,8.0,8.0,0.0,1
2025-05-23,SHILPAMED.NS,78.0,78.0,0.0,1
2025-05-23,ICICIPRULI.NS,38.0,38.0,0.0,1
2025-05-30,OIL.NS,6.0,6.0,0.0,1
2025-05-30,TEGA.NS,56.0,56.0,0.0,1
2025-05-30,ASTRAL.NS,11.0,11.0,0.0,1
2025-06-06,ICICIGI.NS,57.0,57.0,0.0,1
2025-06-06,MAHABANK.NS,29.0,29.0,0.0,1
2025-06-06,OBEROIRLTY.NS,55.0,55.0,0.0,1
2025-06-06,GMDCLTD.NS,84.0,84.0,0.0,1
2025-06-06,SBICARD.NS,84.0,84.0,0.0,1
2025-06-06,SIGNATURE.NS,38.0,39.0,1.0,1
2025-06-06,HDFCAMC.NS,80.0,81.0,1.0,1
2025-06-13,KARURVYSYA.NS,73.0,73.0,0.0,1
