ticker,entry_date,return_pct,net_return_pct,exit_reason
APOLLOTYRE.NS,2024-11-13,7.417362559352431,7.117362559352431,TARGET_HIT
WABAG.NS,2024-09-02,7.417362559352443,7.117362559352443,TARGET_HIT
GESHIP.NS,2025-08-19,-5.933890047481952,-6.233890047481951,STOP_HIT
DABUR.NS,2026-04-15,7.417362559352441,7.117362559352441,TARGET_HIT
INFY.NS,2025-10-24,1.481578602333808,1.181578602333808,TIME_EXIT
MARUTI.NS,2025-09-10,7.417362559352432,7.117362559352432,TARGET_HIT
BHEL.NS,2025-11-04,7.417362559352434,7.117362559352435,TARGET_HIT
HINDUNILVR.NS,2026-04-08,7.417362559352443,7.117362559352443,TARGET_HIT
ZYDUSLIFE.NS,2024-12-04,2.1023342093059183,1.8023342093059183,TIME_EXIT
TRENT.NS,2026-06-12,7.417362559352436,7.117362559352436,TARGET_HIT
SYRMA.NS,2025-07-22,7.417362559352432,7.117362559352432,TARGET_HIT
PFC.NS,2024-08-09,7.417362559352438,7.117362559352438,TARGET_HIT
BHEL.NS,2025-02-14,-5.933890047481946,-6.233890047481946,STOP_HIT
INFY.NS,2026-05-29,7.417362559352428,7.117362559352428,TARGET_HIT
TORNTPHARM.NS,2024-12-16,-3.26140301304264,-3.5614030130426397,TIME_EXIT
HAVELLS.NS,2025-09-04,-5.933890047481955,-6.233890047481955,STOP_HIT
CUPID.NS,2025-08-19,7.417362559352443,7.117362559352443,TARGET_HIT
GRANULES.NS,2025-11-20,5.637254901960797,5.337254901960797,TIME_EXIT
ESCORTS.NS,2025-04-24,-5.933890047481945,-6.233890047481945,STOP_HIT
CONCOR.NS,2026-04-13,7.417362559352444,7.117362559352444,TARGET_HIT
CONCOR.NS,2024-08-01,-5.933890047481945,-6.233890047481945,STOP_HIT
JIOFIN.NS,2024-09-10,-5.933890047481942,-6.233890047481942,STOP_HIT
BEL.NS,2025-10-06,0.4597701149425233,0.1597701149425233,TIME_EXIT
BDL.NS,2026-01-22,7.4173625593524415,7.117362559352442,TARGET_HIT
RRKABEL.NS,2026-04-30,7.4173625593524335,7.117362559352434,TARGET_HIT
SHRIRAMFIN.NS,2025-07-04,-5.933890047481953,-6.233890047481953,STOP_HIT
SHRIRAMFIN.NS,2024-09-27,-5.933890047481953,-6.233890047481953,STOP_HIT
HSCL.NS,2025-12-26,-5.933890047481949,-6.233890047481949,STOP_HIT
BDL.NS,2025-08-11,7.417362559352436,7.117362559352436,TARGET_HIT
AUBANK.NS,2025-07-10,-5.933890047481953,-6.233890047481953,STOP_HIT
AZAD.NS,2025-02-24,-5.933890047481956,-6.233890047481956,STOP_HIT
TECHM.NS,2025-10-21,0.5039000483191796,0.20390004831917957,TIME_EXIT
LODHA.NS,2024-09-04,7.4173625593524335,7.117362559352434,TARGET_HIT
IOC.NS,2026-05-26,-5.933890047481941,-6.233890047481941,STOP_HIT
SOLARINDS.NS,2026-04-20,7.417362559352439,7.117362559352439,TARGET_HIT
PERSISTENT.NS,2025-03-28,-5.933890047481952,-6.233890047481951,STOP_HIT
REDINGTON.NS,2026-05-04,-5.93389004748195,-6.23389004748195,STOP_HIT
BAJAJ-AUTO.NS,2025-06-25,0.08939746111210442,-0.21060253888789557,TIME_EXIT
TORNTPOWER.NS,2025-12-22,7.417362559352441,7.117362559352441,TARGET_HIT
AZAD.NS,2025-04-02,-5.933890047481951,-6.2338900474819505,STOP_HIT
LUPIN.NS,2026-01-08,-0.7850654981971004,-1.0850654981971004,TIME_EXIT
MARUTI.NS,2025-12-08,6.826465682337679,6.526465682337679,TIME_EXIT
ENDURANCE.NS,2025-12-15,-1.2553897813561123,-1.5553897813561124,TIME_EXIT
NYKAA.NS,2025-10-10,-5.933890047481947,-6.233890047481947,STOP_HIT
TECHM.NS,2024-09-19,5.801234838750129,5.501234838750129,TIME_EXIT
TORNTPHARM.NS,2025-10-08,0.30820958251611097,0.00820958251611098,TIME_EXIT
BHARTIARTL.NS,2026-02-23,-5.9338900474819445,-6.233890047481944,STOP_HIT
BHEL.NS,2025-06-17,7.417362559352425,7.117362559352425,TARGET_HIT
SONACOMS.NS,2024-09-03,7.417362559352443,7.117362559352443,TARGET_HIT
NAVINFLUOR.NS,2025-12-23,-5.933890047481953,-6.233890047481953,STOP_HIT
AZAD.NS,2025-11-25,-5.933890047481952,-6.233890047481951,STOP_HIT
GODREJCP.NS,2025-11-26,3.2923236874025297,2.99232368740253,TIME_EXIT
APARINDS.NS,2025-12-05,-5.933890047481956,-6.233890047481956,STOP_HIT
SANSERA.NS,2026-02-12,7.417362559352429,7.117362559352429,TARGET_HIT
ATGL.NS,2025-06-30,-5.93389004748195,-6.23389004748195,STOP_HIT
APOLLOTYRE.NS,2025-09-12,2.082237879903257,1.782237879903257,TIME_EXIT
BAJFINANCE.NS,2025-09-23,7.417362559352429,7.117362559352429,TARGET_HIT
