ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,risk_fraction,contribution,factor,log_growth
GLENMARK.NS,2025-07-17,2025-07-18,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,49.0,TARGET_HIT,1,9.719596210696189,9.419596210696188,1.3348114633840935,1,1.0,0.013348114633840936,1.013348114633841,0.01325981345334568
ANANDRATHI.NS,2025-07-17,2025-07-23,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,48.4,TARGET_HIT,4,24.343015214384504,24.043015214384504,3.0377711798940736,1,1.0,0.030377711798940738,1.0303777117989408,0.029925445504096707
DEEPAKFERT.NS,2025-05-29,2025-07-24,EXECUTE,"AVOID,EXECUTE,MONITOR",is_ascending_triangle_breakout,CAUTION,NEUTRAL,49.2,TIME_EXIT,40,15.96400841738626,15.66400841738626,1.2101553755451366,8,1.0,0.012101553755451367,1.0121015537554514,0.012028915391316187
ICICIPRULI.NS,2025-05-29,2025-07-24,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,41.6,TIME_EXIT,40,1.428978544966002,1.128978544966002,0.14999556553636112,8,1.0,0.0014999556553636113,1.0014999556553636,0.0014988318455158897
UTIAMC.NS,2025-07-10,2025-09-08,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,FAVORABLE,NEUTRAL,45.0,TIME_EXIT,40,2.167917879577137,1.867917879577137,0.1995217767352045,8,1.0,0.001995217767352045,1.0019952177673521,0.0019932299640104145
VIJAYA.NS,2025-07-24,2025-09-22,EXECUTE,"AVOID,EXECUTE,MONITOR",is_flat_base_breakout,CAUTION,NEUTRAL,42.6,TIME_EXIT,40,-0.5871768159863666,-0.8871768159863667,-0.12069000998717348,8,1.0,-0.001206900099871735,0.9987930999001282,-0.0012076289903216499
ADANIGREEN.NS,2025-09-22,2025-09-23,EXECUTE,EXECUTE,is_vcp_breakout,CAUTION,WEAK,43.2,TARGET_HIT,1,9.500676115590728,9.200676115590728,2.6357704770724975,1,1.0,0.026357704770724976,1.026357704770725,0.02601632611514296
VIYASH.NS,2025-09-22,2025-09-23,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,46.4,TARGET_HIT,1,9.284865507183753,8.984865507183752,2.443079295843411,1,1.0,0.024430792958434113,1.0244307929584342,0.024137134397931394
AWL.NS,2025-09-22,2025-09-24,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,47.8,STOP_HIT,2,-5.100350385748902,-5.400350385748902,-1.0588194883312805,1,1.0,-0.010588194883312805,0.9894118051166872,-0.010644648668151945
USHAMART.NS,2025-09-22,2025-09-26,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,WEAK,47.4,TARGET_HIT,4,15.286947689182307,14.986947689182307,2.5258362950956808,1,1.0,0.02525836295095681,1.0252583629509568,0.024944642243797777
HINDZINC.NS,2025-10-14,2025-10-15,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,43.8,TARGET_HIT,1,6.416997410871435,6.116997410871435,1.6049546821676022,1,1.0,0.016049546821676024,1.016049546821676,0.015922114524007915
INDIACEM.NS,2025-08-22,2025-10-21,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,UNFAVORABLE,WEAK,69.4,TIME_EXIT,40,4.061251664447404,3.7612516644474043,0.51948542035736,8,1.0,0.0051948542035736,1.0051948542035736,0.0051814074974894835
CEATLTD.NS,2025-10-21,2025-10-23,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,53.2,TARGET_HIT,1,7.752140280837107,7.452140280837107,1.2146842779940472,1,1.0,0.012146842779940473,1.0121468427799405,0.012073661900266524
CUB.NS,2025-11-06,2025-11-07,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,58.2,TARGET_HIT,1,12.304554724677091,12.00455472467709,2.3315348289035627,1,1.0,0.02331534828903563,1.0233153482890356,0.023047697814700167
