ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,consolidation_valid,consolidation_invalidated_reason,prior_trend_pct_gain,prior_trend_slope,prior_trend_bars,base_depth_pct,base_length_bars,contraction_slope,volume_dryup_ratio,volume_down_up_ratio,pivot_proximity,breakout_volume_ratio,dist_52w_high,dist_52w_high_invalidated_reason,rs_line_new_high,rs_line_invalidated_reason,rs_line_value,excluded_insufficient_history,RS_Rating,macd_signal
COHANCE.NS,2023-12-11,2024-01-03,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,16,8.43233835483296,8.132338354832958,1.205528349999728,4,True,,10.49,10.487,1.0,20.21,20.0,-5e-06,1.251,0.529,1.4,1.784,1.4,,False,,0.032871,False,68.0,
NATCOPHARM.NS,2023-12-11,2024-01-02,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,15,6.8532628405838665,6.553262840583867,1.1952815383383073,3,True,,4.67,1.1663,4.0,4.54,6.0,-0.000748,0.681,1.055,4.35,0.349,16.75,,False,,0.036793,False,27.0,
NAM-INDIA.NS,2023-12-11,2023-12-20,MONITOR,MONITOR,,CAUTION,NEUTRAL,51.4,TARGET_HIT,7,7.977133246018638,7.677133246018638,1.2029906310406497,2,True,,23.26,1.3683,17.0,11.44,15.0,-0.000144,0.593,0.778,3.62,0.525,3.62,,True,,0.020886,False,82.0,
COLPAL.NS,2023-12-11,2023-12-13,AVOID,AVOID,,CAUTION,NEUTRAL,37.8,TARGET_HIT,2,4.6501148382295865,4.350114838229587,1.1693568303051274,1,True,,7.18,0.798,9.0,10.76,22.0,-6.8e-05,0.879,1.036,2.62,0.98,2.62,,False,,0.108891,False,64.0,
MUTHOOTFIN.NS,2023-12-11,2024-01-05,AVOID,AVOID,,CAUTION,NEUTRAL,31.8,TARGET_HIT,18,6.2094547317494895,5.90945473174949,1.1896082238779209,4,True,,23.89,1.8377,13.0,6.52,8.0,-0.000295,1.386,0.615,4.08,0.908,4.08,,False,,0.068819,False,59.0,
NAVA.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,7,8.015145658083192,7.715145658083192,1.2032135763968537,2,True,,8.01,0.8905,9.0,15.07,23.0,-0.000522,1.45,0.752,1.21,3.011,8.14,,False,,0.010431,False,76.0,
CONCOR.NS,2023-12-11,2024-01-04,AVOID,AVOID,,CAUTION,NEUTRAL,34.8,TARGET_HIT,17,5.6913075771413375,5.391307577141338,1.184110045026182,4,True,,10.98,2.7447,4.0,15.65,24.0,-6.9e-05,0.882,0.932,1.88,0.693,1.88,,False,,0.040225,False,49.0,
MRPL.NS,2023-12-11,2024-01-11,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,TARGET_HIT,22,9.896094171900103,9.596094171900102,1.2121062619770941,5,True,,31.35,2.0901,15.0,15.63,18.0,-0.000387,0.722,0.533,4.63,0.37,4.63,,True,,0.006032,False,87.0,
CONCORDBIO.NS,2023-12-11,2023-12-22,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,9,10.277607702585497,9.977607702585496,1.213512909730379,2,True,,24.12,4.0203,6.0,13.71,22.0,-6.6e-05,1.852,0.547,5.42,0.198,,INSUFFICIENT_HISTORY,,INSUFFICIENT_HISTORY,,True,,
MRF.NS,2023-12-11,2023-12-21,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,8,-2.860137230432692,-3.160137230432692,-1.104890071989523,2,True,,5.23,0.6532,8.0,8.19,16.0,-5.3e-05,0.928,1.25,0.46,1.657,0.46,,False,,5.669852,False,35.0,
COROMANDEL.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-4.189460279633558,-4.489460279633557,-1.0716082693177462,2,True,,10.56,1.0565,10.0,18.67,44.0,-9.2e-05,0.893,0.783,0.69,0.676,0.69,,False,,0.059258,False,52.0,
MPHASIS.NS,2023-12-11,2023-12-14,MONITOR,MONITOR,,CAUTION,NEUTRAL,57.2,TARGET_HIT,3,6.023812499850858,5.723812499850858,1.1877470663289615,1,True,,11.66,5.8276,2.0,8.86,17.0,-0.00016,1.033,0.659,1.53,1.066,4.66,,False,,0.115883,False,36.0,
MOTILALOFS.NS,2023-12-11,2024-01-04,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,TARGET_HIT,17,9.586630739925111,9.28663073992511,1.2108830244771784,4,True,,40.24,2.5148,16.0,12.32,17.0,-0.000618,0.536,0.569,5.45,0.393,5.45,,False,,0.015401,False,84.0,
CRAFTSMAN.NS,2023-12-11,2024-01-09,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,STOP_HIT,20,-5.745964093128782,-6.045964093128782,-1.0522105594705595,4,True,,13.37,3.3421,4.0,9.39,15.0,-0.00031,0.595,0.54,4.38,0.285,4.38,,False,,0.246782,False,55.0,
MOTHERSON.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-4.54529378823263,-4.84529378823263,-1.0660023342774176,2,True,,5.52,0.6138,9.0,11.43,23.0,-0.000167,1.804,0.867,1.07,2.762,6.24,,False,,0.004617,False,22.0,
MSUMI.NS,2023-12-11,2024-01-05,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,18,6.135177104160271,5.835177104160271,1.1888770701100513,4,True,,6.27,0.8959,7.0,4.39,6.0,-7e-06,1.414,1.359,1.44,1.584,9.12,,False,,0.002943,False,11.0,
COCHINSHIP.NS,2023-12-11,2023-12-27,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,11,9.795198203303627,9.495198203303627,1.2117159354801503,3,True,,16.22,8.1096,2.0,34.42,51.0,-0.000475,0.537,0.472,3.73,0.489,3.73,,True,,0.060906,False,89.0,
NAVINFLUOR.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,4.189955826913113,3.8899558269131136,1.1605002497660533,1,True,,9.9,0.9004,11.0,6.63,19.0,-0.000177,0.687,0.681,1.0,0.399,23.21,,False,,0.181025,False,3.0,
